"HtmlFile","RelativeHtmlFile","LineNumber","LineText"
"D:\github\ron-english-toys\items\abraham-obama-611.html","items\abraham-obama-611.html","48","<p class=""back-link""><a href=""https://www.trampt.com/item/abraham-obama-ron-english-screenprint-5t2JV9Er8LF7-F"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\abraham-obama-electoral-map-2012-723.html","items\abraham-obama-electoral-map-2012-723.html","45","<li><strong>Trampt item #:</strong> 723</li>"
"D:\github\ron-english-toys\items\abraham-obama-electoral-map-2012-723.html","items\abraham-obama-electoral-map-2012-723.html","48","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\abraham-obama-electoral-map-2012-723.html","items\abraham-obama-electoral-map-2012-723.html","50","<p class=""back-link""><a href=""https://www.trampt.com/item/abraham-obama-electoral-map-2012-ron-english-giclee-art-print-IoUhfkYdgFoDgN"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\action-jackson-615.html","items\action-jackson-615.html","52","<li><strong>Trampt item #:</strong> 615</li>"
"D:\github\ron-english-toys\items\action-jackson-615.html","items\action-jackson-615.html","55","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\action-jackson-615.html","items\action-jackson-615.html","57","<p class=""back-link""><a href=""https://www.trampt.com/item/action-jackson-ron-english-giclee-art-print-zRBcVnhWbt3l6j"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","27","<a href=""../images/Vinyl-Toys/Action%20Jackson%20and%20Bauhaus%20-%20Original%20Art%20-%20Trampt%20item%20678.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","28","<img src=""../images/Vinyl-Toys/Action%20Jackson%20and%20Bauhaus%20-%20Original%20Art%20-%20Trampt%20item%20678.jpg"" alt=""Action Jackson &amp; Bauhaus"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","44","<li><strong>Trampt item #:</strong> 678</li>"
"D:\github\ron-english-toys\items\action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","47","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","49","<p class=""back-link""><a href=""https://www.trampt.com/item/action-jackson-and-bauhaus-ron-english-oil-y11bNLUwpOWd5z"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\adtagged-103.html","items\adtagged-103.html","168","<a href=""../images/Vinyl-Toys/ADTAGGED%20-%20Custom%20Toy%20-%20Trampt%20item%20103.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\adtagged-103.html","items\adtagged-103.html","169","<img src=""../images/Vinyl-Toys/ADTAGGED%20-%20Custom%20Toy%20-%20Trampt%20item%20103.jpg"" alt=""ADTAGGED"" class=""work-hero"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","27","<a href=""../images/Vinyl-Toys/Alfred%20E.%20Newman%20Skull%20-%20Original%20Art%20-%20Trampt%20item%20300.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","28","<img src=""../images/Vinyl-Toys/Alfred%20E.%20Newman%20Skull%20-%20Original%20Art%20-%20Trampt%20item%20300.jpg"" alt=""Alfred E. Newman Skull"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","47","<li><strong>Trampt item #:</strong> 300</li>"
"D:\github\ron-english-toys\items\alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/alfred-e-newman-skull-ron-english-ink-ag067qLEdu-xEh"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\alt-football-584.html","items\alt-football-584.html","27","<a href=""../images/Vinyl-Toys/ALT%20Football%20-%20Original%20Art%20-%20Trampt%20item%20584.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\alt-football-584.html","items\alt-football-584.html","28","<img src=""../images/Vinyl-Toys/ALT%20Football%20-%20Original%20Art%20-%20Trampt%20item%20584.jpg"" alt=""ALT Football"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\alt-football-584.html","items\alt-football-584.html","47","<li><strong>Trampt item #:</strong> 584</li>"
"D:\github\ron-english-toys\items\alt-football-584.html","items\alt-football-584.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\alt-football-584.html","items\alt-football-584.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/alt-football-ron-english-ink-54eD4IyfO4xaBg"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","27","<a href=""../images/Vinyl-Toys/Astro%20Grin%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20675.jpeg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","28","<img src=""../images/Vinyl-Toys/Astro%20Grin%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20675.jpeg"" alt=""Astro Grin (Drawing)"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","47","<li><strong>Trampt item #:</strong> 675</li>"
"D:\github\ron-english-toys\items\astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/astro-grin-drawing-ron-english-mixed-media-eGRm_y_zaIVuQ9"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\atatiger-900.html","items\atatiger-900.html","168","<a href=""../images/Vinyl-Toys/ATATIGER%20-%20Custom%20Toy%20-%20Trampt%20item%20900.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\atatiger-900.html","items\atatiger-900.html","169","<img src=""../images/Vinyl-Toys/ATATIGER%20-%20Custom%20Toy%20-%20Trampt%20item%20900.jpg"" alt=""ATATIGER"" class=""work-hero"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\backyard-soldiers-382.html","items\backyard-soldiers-382.html","27","<a href=""../images/Vinyl-Toys/Backyard%20soldiers%20-%20Original%20Art%20-%20Trampt%20item%20382.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\backyard-soldiers-382.html","items\backyard-soldiers-382.html","28","<img src=""../images/Vinyl-Toys/Backyard%20soldiers%20-%20Original%20Art%20-%20Trampt%20item%20382.jpg"" alt=""Backyard soldiers"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\backyard-soldiers-382.html","items\backyard-soldiers-382.html","44","<li><strong>Trampt item #:</strong> 382</li>"
"D:\github\ron-english-toys\items\backyard-soldiers-382.html","items\backyard-soldiers-382.html","47","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\backyard-soldiers-382.html","items\backyard-soldiers-382.html","49","<p class=""back-link""><a href=""https://www.trampt.com/item/backyard-soldiers-ron-english-oil-_TDPJP1zXgMlyJ"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","27","<a href=""../images/Vinyl-Toys/Bad%20Man%20and%20Sidekick%20-%20Original%20Art%20-%20Trampt%20item%20129.jpeg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","28","<img src=""../images/Vinyl-Toys/Bad%20Man%20and%20Sidekick%20-%20Original%20Art%20-%20Trampt%20item%20129.jpeg"" alt=""Bad Man and Sidekick"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","45","<li><strong>Trampt item #:</strong> 129</li>"
"D:\github\ron-english-toys\items\bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","48","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","50","<p class=""back-link""><a href=""https://www.trampt.com/item/bad-man-and-sidekick-ron-english-paper-drawing-UejsFBsfDcQBw1"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\bart-english-922.html","items\bart-english-922.html","168","<a href=""../images/Vinyl-Toys/Bart%20English%20-%20Custom%20Toy%20-%20Trampt%20item%20922.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\bart-english-922.html","items\bart-english-922.html","169","<img src=""../images/Vinyl-Toys/Bart%20English%20-%20Custom%20Toy%20-%20Trampt%20item%20922.jpg"" alt=""Bart English"" class=""work-hero"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","27","<a href=""../images/Vinyl-Toys/Batman%20and%20the%20Boy%20Blunder%20(Badly%20Drawn)%20-%20Original%20Art%20-%20Trampt%20item%20985.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","28","<img src=""../images/Vinyl-Toys/Batman%20and%20the%20Boy%20Blunder%20(Badly%20Drawn)%20-%20Original%20Art%20-%20Trampt%20item%20985.jpg"" alt=""Batman and the Boy Blunder (Badly Drawn)"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","47","<li><strong>Trampt item #:</strong> 985</li>"
"D:\github\ron-english-toys\items\batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/batman-and-the-boy-blunder-badly-drawn-ron-english-ink-Ioh4Na443Jly61"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","27","<a href=""../images/Vinyl-Toys/Batman%20Brain%20Dream%20-%20Original%20Art%20-%20Trampt%20item%201054.jpeg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","28","<img src=""../images/Vinyl-Toys/Batman%20Brain%20Dream%20-%20Original%20Art%20-%20Trampt%20item%201054.jpeg"" alt=""Batman Brain Dream"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","42","<li><strong>Trampt item #:</strong> 1054</li>"
"D:\github\ron-english-toys\items\batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","45","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","47","<p class=""back-link""><a href=""https://www.trampt.com/item/batman-brain-dream-ron-english-oil-ggOTtKrEn4HPbH"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","27","<a href=""../images/Vinyl-Toys/Beau%20Lief%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20747.jpeg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","28","<img src=""../images/Vinyl-Toys/Beau%20Lief%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20747.jpeg"" alt=""Beau Lief (Drawing)"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","47","<li><strong>Trampt item #:</strong> 747</li>"
"D:\github\ron-english-toys\items\beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/beau-lief-drawing-ron-english-mixed-media-tYLVoGTASKgiZw"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\big-boner-sketch-406.html","items\big-boner-sketch-406.html","27","<a href=""../images/Vinyl-Toys/Big%20Boner%20Sketch%20-%20Original%20Art%20-%20Trampt%20item%20406.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\big-boner-sketch-406.html","items\big-boner-sketch-406.html","28","<img src=""../images/Vinyl-Toys/Big%20Boner%20Sketch%20-%20Original%20Art%20-%20Trampt%20item%20406.jpg"" alt=""Big Boner Sketch"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\big-boner-sketch-406.html","items\big-boner-sketch-406.html","47","<li><strong>Trampt item #:</strong> 406</li>"
"D:\github\ron-english-toys\items\big-boner-sketch-406.html","items\big-boner-sketch-406.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\big-boner-sketch-406.html","items\big-boner-sketch-406.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/big-boner-sketch-ron-english-ink-YZ0rZDbufNAu9a"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\big-duck-drawing-759.html","items\big-duck-drawing-759.html","27","<a href=""../images/Vinyl-Toys/Big%20Duck%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20759.jpeg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\big-duck-drawing-759.html","items\big-duck-drawing-759.html","28","<img src=""../images/Vinyl-Toys/Big%20Duck%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20759.jpeg"" alt=""Big Duck (Drawing)"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\big-duck-drawing-759.html","items\big-duck-drawing-759.html","47","<li><strong>Trampt item #:</strong> 759</li>"
"D:\github\ron-english-toys\items\big-duck-drawing-759.html","items\big-duck-drawing-759.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\big-duck-drawing-759.html","items\big-duck-drawing-759.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/big-duck-drawing-ron-english-mixed-media-0ryhaFaF91OL6z"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","27","<a href=""../images/Vinyl-Toys/Big%20Eye%20Marilyn%20-%20Original%20Art%20-%20Trampt%20item%20450.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","28","<img src=""../images/Vinyl-Toys/Big%20Eye%20Marilyn%20-%20Original%20Art%20-%20Trampt%20item%20450.jpg"" alt=""Big Eye Marilyn"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","45","<li><strong>Trampt item #:</strong> 450</li>"
"D:\github\ron-english-toys\items\big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","48","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","50","<p class=""back-link""><a href=""https://www.trampt.com/item/big-eye-marilyn-ron-english-mixed-media-G7dkp47UW_TiSI"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\bigfoot-child-tourist-nfs-921.html","items\bigfoot-child-tourist-nfs-921.html","427","src=""../images/Vinyl-Toys/BIGFOOT CHILD TOURIST (NFS) - Original Art - Trampt item 921.jpg"""
"D:\github\ron-english-toys\items\bigfoot-child-tourist-nfs-921.html","items\bigfoot-child-tourist-nfs-921.html","434","<ul class=""work-meta"" data-work-id=""Trampt item 921"">"
"D:\github\ron-english-toys\items\bigfoot-father-tourist-nfs-169.html","items\bigfoot-father-tourist-nfs-169.html","427","src=""../images/Vinyl-Toys/BIGFOOT FATHER TOURIST (NFS) - Original Art - Trampt item 169.jpg"""
"D:\github\ron-english-toys\items\bigfoot-father-tourist-nfs-169.html","items\bigfoot-father-tourist-nfs-169.html","434","<ul class=""work-meta"" data-work-id=""Trampt item 169"">"
"D:\github\ron-english-toys\items\bigfoot-mother-tourist-nfs-983.html","items\bigfoot-mother-tourist-nfs-983.html","427","src=""../images/Vinyl-Toys/BIGFOOT MOTHER TOURIST (NFS) - Original Art - Trampt item 983.jpg"""
"D:\github\ron-english-toys\items\bigfoot-mother-tourist-nfs-983.html","items\bigfoot-mother-tourist-nfs-983.html","434","<ul class=""work-meta"" data-work-id=""Trampt item 983"">"
"D:\github\ron-english-toys\items\big-yang-the-yang-bangers-turnaround-sketch-499.html","items\big-yang-the-yang-bangers-turnaround-sketch-499.html","27","<a href=""../images/Vinyl-Toys/Big%20Yang%20and%20The%20Yang%20Bangers%20Turnaround%20Sketch%20-%20Original%20Art%20-%20Trampt%20item%20499.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\big-yang-the-yang-bangers-turnaround-sketch-499.html","items\big-yang-the-yang-bangers-turnaround-sketch-499.html","28","<img src=""../images/Vinyl-Toys/Big%20Yang%20and%20The%20Yang%20Bangers%20Turnaround%20Sketch%20-%20Original%20Art%20-%20Trampt%20item%20499.jpg"" alt=""Big Yang &amp; The Yang Bangers Turnaround Sketch"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\big-yang-the-yang-bangers-turnaround-sketch-499.html","items\big-yang-the-yang-bangers-turnaround-sketch-499.html","47","<li><strong>Trampt item #:</strong> 499</li>"
"D:\github\ron-english-toys\items\big-yang-the-yang-bangers-turnaround-sketch-499.html","items\big-yang-the-yang-bangers-turnaround-sketch-499.html","50","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\big-yang-the-yang-bangers-turnaround-sketch-499.html","items\big-yang-the-yang-bangers-turnaround-sketch-499.html","52","<p class=""back-link""><a href=""https://www.trampt.com/item/big-yang-and-the-yang-bangers-turnaround-sketch-ron-english-ink-33D_IMKGgMV-17"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\breathe-925.html","items\breathe-925.html","44","<li><strong>Trampt item #:</strong> 925</li>"
"D:\github\ron-english-toys\items\breathe-925.html","items\breathe-925.html","47","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\breathe-925.html","items\breathe-925.html","49","<p class=""back-link""><a href=""https://www.trampt.com/item/breathe-ron-english-giclee-art-print-uMFNpVOo09A2IR"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\brown-acid-trip-864.html","items\brown-acid-trip-864.html","27","<a href=""../images/Vinyl-Toys/Brown%20acid%20trip%20-%20Original%20Art%20-%20Trampt%20item%20864.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\brown-acid-trip-864.html","items\brown-acid-trip-864.html","28","<img src=""../images/Vinyl-Toys/Brown%20acid%20trip%20-%20Original%20Art%20-%20Trampt%20item%20864.jpg"" alt=""Brown acid trip"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\brown-acid-trip-864.html","items\brown-acid-trip-864.html","44","<li><strong>Trampt item #:</strong> 864</li>"
"D:\github\ron-english-toys\items\brown-acid-trip-864.html","items\brown-acid-trip-864.html","47","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\brown-acid-trip-864.html","items\brown-acid-trip-864.html","49","<p class=""back-link""><a href=""https://www.trampt.com/item/brown-acid-trip-ron-english-oil-hq9HqWe4mquSOI"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\brute-33.html","items\brute-33.html","27","<a href=""../images/Vinyl-Toys/Brute%20-%20Original%20Art%20-%20Trampt%20item%2033.jpeg"" target=""_blank"" rel=""noopener noreferrer"">"
"D:\github\ron-english-toys\items\brute-33.html","items\brute-33.html","28","<img src=""../images/Vinyl-Toys/Brute%20-%20Original%20Art%20-%20Trampt%20item%2033.jpeg"" alt=""Brute"" loading=""lazy"" />"
"D:\github\ron-english-toys\items\brute-33.html","items\brute-33.html","45","<li><strong>Trampt item #:</strong> 33</li>"
"D:\github\ron-english-toys\items\brute-33.html","items\brute-33.html","48","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\brute-33.html","items\brute-33.html","50","<p class=""back-link""><a href=""https://www.trampt.com/item/brute-ron-english-paper-drawing-74yHIW3xvi46nX"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\camo-deer-in-autumn-338.html","items\camo-deer-in-autumn-338.html","50","<li><strong>Trampt item #:</strong> 338</li>"
"D:\github\ron-english-toys\items\camo-deer-in-autumn-338.html","items\camo-deer-in-autumn-338.html","53","<strong>Working catalogue note:</strong> This page was generated from the Trampt spreadsheet and local image folder. Confirm object classification, edition details, dimensions, and source priority before treating the record as final catalogue data."
"D:\github\ron-english-toys\items\camo-deer-in-autumn-338.html","items\camo-deer-in-autumn-338.html","55","<p class=""back-link""><a href=""https://www.trampt.com/item/camo-deer-in-autumn-ron-english-screenprint-QfYSk8C96aJb9M"" target=""_blank"" rel=""noopener noreferrer"">Open Trampt source record</a></p>"
"D:\github\ron-english-toys\items\camo-deer-in-early-spring-312.html","items\camo-deer-in-early-spring-312.html","27","<a href=""../images/Vinyl-Toys/Camo%20deer%20in%20early%20spring%20-%20Original%20Art%20-%20Trampt%20item%20312.jpg"" target=""_blank"" rel=""noopener noreferrer"">"
