"Number","Status","OriginalSrc","NewSrc","ImageFile","ResolvedPath","Detail"
"28","Broken - not fixed","../images/Trampt/Giant Scratch 2 - Custom Toy - Trampt item 268.jpg","","Giant Scratch 2 - Custom Toy - Trampt item 268.jpg","","Could not find a file with this exact filename under the repo images folder."
"29","Broken - not fixed","../images/Trampt/Giant Ted 1 - Custom Toy - Trampt item 241.jpg","","Giant Ted 1 - Custom Toy - Trampt item 241.jpg","","Could not find a file with this exact filename under the repo images folder."
"30","Broken - not fixed","../images/Trampt/Giant Ted 2 - Custom Toy - Trampt item 530.jpg","","Giant Ted 2 - Custom Toy - Trampt item 530.jpg","","Could not find a file with this exact filename under the repo images folder."
"31","OK","../images/Trampt/Dudebox.jpg","","","images/Trampt/Dudebox.jpg","Current path already works."
"32","Broken - not fixed","../images/Trampt/Little Bigfoot - Silver - Custom Toy - Trampt item 209.jpg","","Little Bigfoot - Silver - Custom Toy - Trampt item 209.jpg","","Could not find a file with this exact filename under the repo images folder."
"33","OK","../images/Trampt/starskull-walking-stick-sculpture.jpg","","","images/Trampt/starskull-walking-stick-sculpture.jpg","Current path already works."
"34","Broken - not fixed","../images/Trampt/Telegrinnie - Gold - DESIGNER TOY.jpeg","","Telegrinnie - Gold - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"35","Broken - not fixed","../images/Trampt/Telegrinnie - Purple - DESIGNER TOY.jpeg","","Telegrinnie - Purple - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"36","Broken - not fixed","../images/Trampt/Telegrinnie - Red - DESIGNER TOY.jpeg","","Telegrinnie - Red - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"37","Broken - not fixed","../images/Trampt/Telegrinnie - Silver - DESIGNER TOY.jpeg","","Telegrinnie - Silver - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"38","Broken - not fixed","../images/Trampt/Telegrinnie - Yellow - DESIGNER TOY.jpeg","","Telegrinnie - Yellow - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"39","Broken - not fixed","../images/Trampt/Two Ton Sam - Custom Toy - Trampt item 413.jpg","","Two Ton Sam - Custom Toy - Trampt item 413.jpg","","Could not find a file with this exact filename under the repo images folder."
"40","OK","../images/Trampt/Urban Bigfoot - DESIGNER TOY.jpeg","","","images/Trampt/Urban Bigfoot - DESIGNER TOY.jpeg","Current path already works."
"999999","No file changes","sculptures/index.html","","","","No image src changes were made."
